,Tweet,Model_label,Qualitative_label,Model_label2
511,"People need to remember:

Donald Trump wasn’t a politician.

He never care about our system.

He didn’t run to govern, let alone serve a civic duty.

He ran for fame and power.

That’s all he’s ever been concerned with.

He wanted to become the most famous man on Earth. #Trump",disgust,disgust,others
1195,Do you stand in full support of a man who profits off of caging human lives? In conditions where COVID is rampant and both inmates and employees have died? And who also gives large donations to #Trump? #goodchristiannot #belmontdebate2020 #belmontuniversity #bebetterbelmont https://t.co/SVnswgfhjW,disgust,disgust,others
1635,"I and a couple hundred thousand other Louisianan's have PLEADED for this since APRIL and are THRILLED it is happening but qua #Biden ""C'mon..."" https://t.co/wAoMWPu4uK",joy,sadness,others
1660,💕 Eva gives me hope. #Auschwitz Survivor for #Biden https://t.co/CR0pApPjj1,joy,joy,others
2256,"POV - me trying to get to class but #Trump and #Biden came to visit. 

#PresidentialDebate2020 #Debates2020 https://t.co/14RmFyioQ2",others,others,joy
3209,Melania girl I found you a way out 🤣 #DumpTrump2020 #MelaniaTrump #JoeBiden #Election2020 https://t.co/c1b0UlxfMK,disgust,others,others
3798,@ProjectLincoln @MichaelSteele Yes!!!!! #IChooseAmerica and voted #JoeBiden and blue down ballot!  2 more weeks for the rest of you to vote and be #StrongerWithBiden,others,joy,joy
4381,"@RonBrownstein that's a truly powerful analogy, Ron. I'm ecstatic #Biden won, but I deeply fear for my country now......",fear,fear,sadness
4553,"What a refreshingly bright morning. Regardless of policy disagreements between any parties, character, compassion, and democracy win.

Somewhere in TV land, Leslie Knope is enjoying a celebratory stack of waffles. #JoeBiden #BidenHarris2020 #Election2020results #ParksAndRec",joy,joy,others
4590,"UFC Fighters react to Joe Biden defeating Donald Trump in US Presidential Election

https://t.co/sJkedLkijs

#election2020 #biden #trump",others,others,joy
5572,I’m all about taking the high-road but I low key wonder if #DonaldTrump lost his golf game today. https://t.co/TgfWbfQ8Ch,disgust,others,others
6073,#JoeBiden #HunterBiden #Election2020 https://t.co/oJnBCin3kn,others,others,joy
6245,"I want candidates in a Twitter debate. One question, 10 tweets back and forth to answer. 140 characters per tweet. #Debates2020 #biden",others,others,joy
6952,"I voted for @JoeBiden, but not because of your mea culpa.

I still don’t trust your ass.

I voted for #JoeBiden because I believe in his vision for America and I am sick of #DonaldTrump and his cronies, of which you were one.

This doesn’t change anything. You’re still dirty. https://t.co/WKTnYE6eQg",anger,anger,disgust
6959,"#GlennGreenwald (@ggreenwald) on resigning from @TheIntercept due to #censorship of an article critical of #Biden
https://t.co/ZbECqEWilt",others,others,joy
7247,#VoteResponsibly #BidenHarris2020 #Biden  #ElectionDay #Elections2020 #VoteBidenHarrisToSaveAmerica 💙🌊💙🌊 https://t.co/gjLaLmOElP,others,others,joy
7570,"I voted for #Biden in OK. I knew Trump would carry OK by multiple miles. I voted anyway. My vote counted. It didn't sway the election here, but it signaled to others there are Democrat voters in this state. Maybe next time, more will vote. Then more. Then more...",others,others,joy
7616,"I’m now convinced Joe Biden is about to flip and take Georgia from trump. Only 3,400 difference with mail ballots still incoming from Dem counties. #Georgia #Biden #trump #Election2020",others,others,joy
8313,@NBCNews His smile is not a warm smile. This is the real face of #DonaldTrump #NBCTownHall https://t.co/QCmTdJRPMn,others,others,joy
8508,"The worst part of this is, we could easily have not one but TWO horrible #Trump-like senators in both @MarshaBlackburn AND @BillHagertyTN representing our state. 

Unless, of course, they grow a backbone, stick it to #Trump, and vote for @Bradshaw2020. #TNSen https://t.co/tv70B8uC2p",disgust,disgust,anger
8873,"#TRENDING: ""The unedited [60 Minutes] footage might make the president look dumb, but the fact [that CBS is] mad about the release of it  tells you everything you need to know about them.""
#60minutes #Trump #PresidentTrump
https://t.co/jXKtYX7xG2",disgust,anger,others
11116,A look at the celebration outside the Capitol #Madison #Biden https://t.co/1Xvu6SFH0o,others,others,joy
11529,"@jaketapper @Twitter @nypost The closer we get to Election Day, with #Trump still down by 10, the more people are standing up on their hind legs and saying no. Like @twitter.",others,others,disgust
11572,Stormfront #Biden @TheBoysTV https://t.co/EVo7deXJLN,others,others,disgust
12013,"#Trump, you can BULLSH$$ some of the people some of the time.

But, you can't BULLSH$$ ALL the people ALL the time!!!

#VOTE 
#BidenHarrisToSaveAmerica 
#WeThePeople https://t.co/Ge4ZZnpzNa",anger,anger,disgust
13059,"Hmm, now that we know the #Biden family was in bed w/ countries who pose the greatest risk to #WeThePeople &amp; our national sovereignty, what are the odds that some of the money sent to #Iran &amp; their proxies found its way into a Biden family member offshore account? https://t.co/XX5ScqkWJq https://t.co/HpL83hsXJd",disgust,disgust,others
13233,@kayleighmcenany @realDonaldTrump Look how graceful #JoeBiden went down those stairs! Proud I voted for you #JoeWillLeadUs,joy,joy,others
13390,"#Philadelphia riots will turn Pennsylvania Trump red in 2020.  Its not OK to loot and riot. Ever.

#blm #BLMprotest #riots #trump #biden",anger,disgust,others
13673,"💰 #Trump y los demócratas ven posible un acuerdo sobre el cheque de $1,200 antes de las elecciones. Pero hay otro obstáculo.

Vía @TelemundoNews 👉🏻https://t.co/WDI81JFrHN

 #Noticias https://t.co/4qI2cJRevJ",disgust,others,others
14722,"The vote in Nevada, once it is counted, will not be narrow. It's a clear #Biden victory. Huge Dem numbers in Vegas remain to  be counted as I write. Also, when Milwaukee, Detroit, and Grand Rapids are all counted, it won't be narrow in #WI and #MI. https://t.co/Khq2DSP95n",others,others,joy
14997,@JakeTapper WHY SHOULDN’T #BIDEN TAKE A SUNDAY OFF 3 weeks before the #election? SIT DOWN!!! #cnn 😡,anger,anger,disgust
15718,Michigan has 99% of their votes counted! And #Biden is leading... although it’s will be a close call... Michigan will gives us 16 electoral votes and that will put us at 264!!! #Elections2020 #Biden2020 https://t.co/XXdWDmswoM,others,joy,joy
16774,@rocksncows The Chinese Juan is down. Trump is tough on #China Makes  me think the world believes there is a good chance #Trump will win and not @CrookedJoeBiden #ChinaJoe,others,joy,joy
17070,"Seriously, what more do you need?!?! Arrest Joe Biden and his dopey son Hunter YESTERDAY! #JoeBiden #LaptopFromHell #LaptopGate #WheresHunter #BidenCrimeFamiily #HunterBidenEmails #HunterBiden #Bobulinski https://t.co/9psBOg3e4U",anger,anger,disgust
18792,Joe Biden has won. #JoeBiden   https://t.co/dHzLPOGyTh,others,others,joy
19121,@realyourhedge @GovSisolak @DhhsNevada Now do #Trump 🙄🔚 https://t.co/ENSQsJi4pK,others,others,disgust
20572,"The fact that Hunter Biden is still in hiding and hasn't come forward to say that it's not his laptop is absolute 100% proof that is his.
#HuntersLapTop #trump #MAGA2020LandslideVictory #WheresHunter",disgust,others,others
21553,If there isn’t underage sex videos on #BidenLaptop of #HunterBiden then the FBI should say so as soon as possible. If it’s fake it’s not fair to the family and if it’s true and there was a coverup then voters have got to know. #Biden #Election2020,disgust,disgust,others
22448,"@Wizard_Predicts Under no circumstances should a media outlet call this election at this point. If @FoxNews doubles down on Arizona mistake and makes first call for #JoeBiden, they are no better than @CNN or @MSNBC, even worse I’d say!",disgust,disgust,others
23733,"Fox News is worried about Trump losing — but not for the reason you think: op-ed.

Don't worry #FoxNews. If #Trump does start  Trump TV it'll go bankrupt in no time. 
 https://t.co/t4tLTRWKZr",others,disgust,joy
25060,"The time for whining, complaining and bewilderment is over. People need to #vote, especially women, Latinos, African Americans and others who have been devalued and vilified by the #Trump Administration. Show up or shut up, the time is now! #Election2020",disgust,others,anger
25323,"Generalprobe jetzt für die lange @ZDF Wahlnacht Live vom #Biden HQ aus #Wilmington , Delaware https://t.co/tLB7Di0GNS",others,others,joy
25556,@nytimes #JoeBiden https://t.co/BU03ffzpq5,others,others,disgust
25978,What a treat. As far as I am concerned they can keep the Presidential debates on separate channels.  #JoeBiden #BidenTownHall #Biden2020,others,others,disgust
25978,What a treat. As far as I am concerned they can keep the Presidential debates on separate channels.  #JoeBiden #BidenTownHall #Biden2020,others,joy,disgust
26344,My Promise On Election Day 2020 ⁦@Coil⁩ ⁦@CinnamonVideo⁩ ⁦@OurBloggingLife⁩ ⁦@thebloggersknot⁩ #Election2020 #Trump #Biden #KindnessMatters #spreadlovenothate 🇺🇸🇺🇸 https://t.co/ob5YDM1E8t,others,others,joy
26908,"#Breaking #Election2020 #Vote2020 the @nytimes predicition meter has risen back to 95% chance of #Trump taking #Florida with nearly 80% of the vote in

Did not see that one, still a ways to go",others,others,fear
29100,Trump refuses to concede — falsely claims ‘I WON THE ELECTION’ after day of golfing https://t.co/NYnI3JlUGT What a total embarrassment on a world stage! SMH🤔😜😂🤣🇷🇺 #ByeByeTrump #PresidentBiden2020  #Biden,disgust,disgust,anger
29354,"Just remember, the more we relish in #Trump’a likely defeat, &amp; the bigger the defeat is, the angrier &amp; more vengeful he will be from tomorrow until Jan. #SadSackDon will turn into #OrangeHulk overnight, and HE. WILL. SMASH. No one will be safe. The nightmare doesn’t end tonight.",disgust,fear,others
29622,@JoeBiden So proud of you #JoeBiden!!! #BidenWon #Biden #Debates2020 #debates #DebateTonight #Debate2020 https://t.co/1OXdgSnUmP,joy,joy,others
